FL_DATE,OP_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,AIR_TIME,DISTANCE
2023-09-29,NK,DFW,IAH,1855,1855,17.0,11,2219,2219,15.0,0,0,204.0,187.0,1185.0
2023-03-15,AS,CLT,SFO,1635,1635,-33.0,34,1812,1812,-33.0,0,0,97.0,56.0,462.0
2023-05-06,DL,EWR,LAS,1430,1430,8.0,12,1927,1927,5.0,0,0,297.0,276.0,2235.0
2023-12-08,AA,DFW,EWR,650,650,-15.0,28,813,813,-3.0,0,0,83.0,44.0,468.0
2023-11-17,NK,ORD,DFW,2150,2150,8.0,10,2304,2304,6.0,0,0,74.0,57.0,165.0
2023-10-15,WN,MIA,JFK,1030,1030,-7.0,13,1218,1218,-7.0,0,0,108.0,88.0,408.0
2023-07-16,WN,DFW,SFO,655,655,14.0,33,840,840,24.0,0,0,105.0,66.0,402.0
2023-10-12,WN,MCO,PHX,1530,1530,8.0,17,2056,2056,16.0,0,0,326.0,301.0,2312.0
2023-01-31,AA,JFK,ATL,1320,1320,8.0,22,1926,1926,10.0,0,0,366.0,335.0,2459.0
2023-09-27,AS,DEN,EWR,1700,1700,15.0,19,2151,2151,14.0,0,0,291.0,263.0,1831.0
2023-02-16,NK,DEN,ORD,1205,1205,36.0,23,1727,1727,49.0,0,0,322.0,289.0,2232.0
2023-01-12,UA,LAX,JFK,910,910,2.0,13,1142,1142,-7.0,0,0,152.0,133.0,922.0
2023-11-08,F9,MCO,CLT,1715,1715,-0.0,31,2316,2316,2.0,0,0,361.0,323.0,2517.0
2023-06-24,UA,MIA,LAS,1130,1130,12.0,28,1700,1700,-2.0,0,0,330.0,297.0,2225.0
2023-10-30,AS,CLT,IAH,610,610,-35.0,26,859,859,-17.0,0,0,169.0,133.0,1052.0
2023-09-16,NK,SFO,DFW,955,955,10.0,16,1609,1609,10.0,0,0,374.0,349.0,2796.0
2023-08-26,WN,PHX,CLT,2145,2145,-2.0,25,109,109,-7.0,0,0,204.0,170.0,1374.0
2023-10-21,B6,PHX,CLT,750,750,-16.0,25,1325,1325,-3.0,0,0,335.0,300.0,2260.0
