model,class,precision,recall,f1,n_flights
baseline_majority,on_time,0.7932,1.0,0.8847,97260
baseline_majority,minor,0.0,0.0,0.0,17706
baseline_majority,major,0.0,0.0,0.0,7652
baseline_random,on_time,0.7933,0.8257,0.8092,97260
baseline_random,minor,0.1438,0.1235,0.1329,17706
baseline_random,major,0.0584,0.047,0.0521,7652
logistic_regression,on_time,0.8478,0.5178,0.6429,97260
logistic_regression,minor,0.1888,0.3169,0.2367,17706
logistic_regression,major,0.0988,0.4327,0.1609,7652
knn,on_time,0.7938,0.9963,0.8836,97260
knn,minor,0.1995,0.0047,0.0092,17706
knn,major,0.2558,0.0043,0.0085,7652
random_forest,on_time,0.8508,0.6026,0.7055,97260
random_forest,minor,0.2138,0.3081,0.2524,17706
random_forest,major,0.1066,0.3928,0.1676,7652
